ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
COLEGIO CENTRO DE ESTUDIOS AMERICANO,00-10-0007-46,01-503,CIUDAD CAPITAL,ZONA 10,6A. AVENIDA 0-18,23316922,NANCY CAROLINA NAVAS GONZÁLEZ,JOSÉ FRANCISCO BALLESTEROS GUZMÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO CENTRO DE ESTUDIOS AMERICANO
COLEGIO CENTRO DE ESTUDIOS INTEGRALES,"10-01-0298-46, 10-01-0316-46, 10-01-0398-46, 10-01-2649-46, 10-01-2690-46",10-018,SUCHITEPEQUEZ,MAZATENANGO,1A. CALLE BARRIO LA ESPERANZA ZONA 2,"36179656, 55133318, 59797134",NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,"DASIA YOSELINE CASTILLO LAM, LINDA MARIELOS DE LEÓN BOLAÑOS",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SUCHITEPÉQUEZ,"COLEGIO CENTRO DE ESTUDIOS INTEGRALES, COLEGIO CENTRO DE ESTUDIOS INTEGRALES CEI"
COLEGIO CENTRO DE FORMACIN PROFESIONAL PRE UNIVERISTARIA DEL CICLO DIVERSIFICADO,"02-03-0002-46, 02-03-0004-46, 02-03-0150-46",02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,"BARRIO EL CENTRO, BARRIO EL CENTRO ALDEA EL RANCHO","55866613, 56389671, 59787086",EDNA LILY ALDANA GODOY,HÉCTOR FRANCISCO DE LEÓN MURALLES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",EL PROGRESO,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PRE-UNIVERSITARIA DEL CICLO DIVERSIFICADO"", COLEGIO CENTRO DE FORMACIÓN PROFESIONAL PRE-UNIVERISTARIA DEL CICLO DIVERSIFICADO"
COLEGIO CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO,02-03-0003-46,02-015,EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,BARRIO EL CENTRO,59787086,EDNA LILY ALDANA GODOY,HÉCTOR FRANCISCO DE LEÓN MURALLES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,"COLEGIO ""CENTRO DE FORMACION PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO"""
COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION,"10-01-0196-46, 10-01-0404-46, 10-01-2289-46",10-019,SUCHITEPEQUEZ,MAZATENANGO,7A. AVENIDA 8-31 ZONA 1,"56160793, 78720315",REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,"ANA DELFINA FUENTES RIVAS, ELIO SALVADOR OROZCO PINEDA",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SUCHITEPÉQUEZ,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO FUENTE DE BENDICION
COLEGIO CENTRO PEDAGOGICO GUADALUPE,10-06-2709-46,10-025,SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ,PARCELAMIENTO CONRADO DE LA CRUZ,50515783,CLAUDIA TERESA SERECH GOMEZ,NORMA JUDITH CORADO GUERRA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO CENTRO PEDAGOGICO GUADALUPE
COLEGIO CENTRO ROSSEL EDUCATIVO,"01-08-8366-46, 01-08-9351-46","01-409, 01-608",GUATEMALA,MIXCO,"10 AVENIDA 9-55 ZONA 3, NUEVA MONSERRAT, 10AV. 9-55 ZONA 3 MIXCO NUEVA MONSERRAT",24325593,"EDGAR ALBERTO SIMON CHALI, IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ","CORA GIOCONDA PICOT RAMIREZ, IRMA FLORIDALMA CUELLAR OLIVA",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,"DIARIO(REGULAR), FIN DE SEMANA",GUATEMALA OCCIDENTE,COLEGIO CENTRO ROSSEL EDUCATIVO
COLEGIO CIENCIA Y CULTURA,"08-03-0050-46, 08-03-0061-46",08-009,TOTONICAPAN,SAN FRANCISCO EL ALTO,1ERA. AVENIDA 4-33 ZONA 1,"41153110, 51071549",HEBERTO WOTZBELI PALACIOS JUC,BENJAMIN EDUARDO PACHECO HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",TOTONICAPÁN,"COLEGIO ""CIENCIA Y CULTURA"""
COLEGIO CIENTFICO GALILEO,"12-12-0069-46, 12-12-0078-46, 12-12-0082-46, 12-12-0083-46, 12-12-0084-46, 12-12-0090-46",12-134,SAN MARCOS,NUEVO PROGRESO,CALLE 3 DE MAYO,"41045666, 54790718, 77629572",OLGA RUBY ANDRES MUÑOZ DE LOPEZ,GLADIS JUSTINA MUÑOZ DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,"COLEGIO CIENTIFICO ""GALILEO"", COLEGIO CIENTIFICO GALILEO, COLEGIO CIENTÍFICO ""GALILEO"""
COLEGIO CIENTFICO INTEGRAL RENACIMIENTO,"04-01-0345-46, 04-01-2957-46, 04-01-2958-46, 04-01-2961-46, 04-01-2963-46",04-027,CHIMALTENANGO,CHIMALTENANGO,2A. CALLE 2-75 ZONA 1,78399859,ISMAEL CRISTAL AJCET,JAVIER SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (DOS DÍAS A LA SEMANA)",CHIMALTENANGO,"COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO, COLEGIO CIENTÍFICO INTEGRAL RENACIMIENTO"
COLEGIO CIENTFICO STEPHEN HAWKING,"08-02-0150-46, 08-02-0151-46",08-007,TOTONICAPAN,SAN CRISTOBAL TOTONICAPAN,"4TA. CALLE 3-49 ZONA 1, BARRIO EL SALVADOR",36219342,YESENIA CAROLINA TACAM MORALES,"BRENDA CECILIA GARCIA CASTRO, BRENDA CECILIA GARCÍA CASTRO DE VASQUEZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",TOTONICAPÁN,"""COLEGIO CIENTÍFICO STEPHEN HAWKING"""
COLEGIO CIENTIFICO 'ALBERT EINSTEIN',"11-01-1329-46, 11-01-1484-46",11-017,RETALHULEU,RETALHULEU,"2A. CALLE Y 3A. AVENIDA 2-90 ZONA 1, 2A.CALLE Y 3A. AVENIDA 2-90 ZONA 1",77717081,MIGUEL ANGEL ARMAS ROCHA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA",DIARIO(REGULAR),RETALHULEU,COLEGIO CIENTIFICO 'ALBERT EINSTEIN'
COLEGIO CIENTIFICO AMERICANO 'GALILEO',11-01-1324-46,11-017,RETALHULEU,RETALHULEU,11 CALLE 5-01 ZONA 2,77712312,MIGUEL ANGEL ARMAS ROCHA,X,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,COLEGIO CIENTIFICO AMERICANO 'GALILEO'
COLEGIO CIENTIFICO DE ESTUDIOS EN COMPUTACION,09-01-0823-46,09-004,QUETZALTENANGO,QUETZALTENANGO,"7A. CALLE 0-47 ZONA 8, ATRAS DE LA COLONIA SAN GABRIEL",52968944,DINA RUBI GONZALEZ DE LEON,NO REPORTA EN PROCESO DE CIERRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CIENTIFICO DE ESTUDIOS EN COMPUTACION
COLEGIO CIENTIFICO DR. EDUARDO SUGER,14-01-5958-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,ALDEA EL CARMEN CHITATUL,55747445,GONZALO VENTURA LUX,GILDA DANIELA LOPEZ MATZAR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,COLEGIO CIENTIFICO DR. EDUARDO SUGER
COLEGIO CIENTIFICO INDUSTRIAL EL TRIUNFO,"11-06-1469-46, 11-06-1470-46",11-017,RETALHULEU,SAN ANDRES VILLA SECA,"ENTRADA PRINCIPAL CENTRO 2 LA MAQUINA, ENTRADA PRINCIPAL DEL CENTRO 2 LA MAQUINA",78429789,MIGUEL ANGEL ARMAS ROCHA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA",DIARIO(REGULAR),RETALHULEU,COLEGIO CIENTIFICO INDUSTRIAL EL TRIUNFO
COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO(MADUREZ),04-01-2964-46,04-001,CHIMALTENANGO,CHIMALTENANGO,6AV. 2-17 ZONA 4,78399859,ABIMAEL ACUTA ABAJ,JAVIER SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO(MADUREZ)
COLEGIO CIENTIFICO MONTESSORI,07-01-0144-46,07-019,SOLOLA,SOLOLA,"9A. CALLE 8-81 ZONA 2, BARRIO EL CALVARIO",77623427,ESTELA BEN AJCALÓN DE TUY,YOVANY ISRAEL ROSALES CORZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ,"COLEGIO CIENTIFICO ""MONTESSORI"""
COLEGIO CIENTIFICO SECRETARIAL GUATEMALTECO,00-01-7262-46,01-312,CIUDAD CAPITAL,ZONA 1,8A.CALLE 2-29,22515677,AMADO SALOMON FLORES PEREZ,JORGE HERIBERTO ESTRADA CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO CIENTIFICO SECRETARIAL GUATEMALTECO
COLEGIO CIENTIFICO TECNOLOGICO EINSTEIN,10-10-0068-46,10-026,SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ,4A. CALLE COLONIA BLANQUITA,56331047,MAYNOR RENE SAQUIC ESPINOZA,OSWALDO ALEJANDRO MASAYA RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,"COLEGIO CIENTIFICO TECNOLOGICO ""EINSTEIN"""
COLEGIO CIENTIFICO Y TECNOLOGICO 'BLAISE PASCAL',10-01-2479-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,1A. AVENIDA SUR FINAL 12-70 ZONA 2,59465095,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JAQUELINE ESPERANZA LIMA LINARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO CIENTIFICO Y TECNOLOGICO 'BLAISE PASCAL'
COLEGIO CIENTIFICO Y TECNOLOGICO ALFREDO NOBEL,"09-01-0266-46, 09-01-4097-46",09-002,QUETZALTENANGO,QUETZALTENANGO,"20 AVENIDA 0-23 ZONA 1,",77631473,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,HILDA MAGNOLIA GRAMAJO OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, VESPERTINA",DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CIENTIFICO Y TECNOLOGICO ALFREDO NOBEL
COLEGIO CIUDAD VIEJA,00-10-3062-46,01-501,CIUDAD CAPITAL,ZONA 10,9A CALLE 5-49,23314462,JULIO JACOBO GIL URBINA,MARÍA RAQUEL JIMÉNEZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO CIUDAD VIEJA
COLEGIO CLSICO GUATEMALTECO,"00-06-0065-46, 00-06-0069-46, 00-06-0087-46","01-102, 01-403",CIUDAD CAPITAL,ZONA 6,"15 AVENIDA 07-61, 15 AVENIDA 7-61","23099266, 52394686","CARLOS HUMBERTO GONZÁLEZ DE LEÓN, ZIZI ARELY LOPEZ CHINCHILLA",RONY ARTURO CHINCHILLA CRISTALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA NORTE,COLEGIO CLÁSICO GUATEMALTECO
COLEGIO CLUB SOCIAL Y DEPORTIVO MUNICIPAL,"01-13-0040-46, 01-13-0041-46, 01-13-0042-46, 01-13-0046-46","01-405, 01-508",GUATEMALA,FRAIJANES,1A. AVENIDA 2-150 ZONA 1,66379900,"BLANCA SARAI GUTIERREZ PINEDA, MANUEL MARIA CANO CASTRO",HAROLDO ANTONIO FIGUEROA LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",GUATEMALA ORIENTE,COLEGIO CLUB SOCIAL Y DEPORTIVO MUNICIPAL
COLEGIO COBAN,16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO COBAN
COLEGIO COLONIAL BILINGUE,03-01-0103-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,"LOTE F-6, MANZANA G, SAN PEDRO EL PANORAMA",79346373,ZOILA ESTHELA JONFE OROZCO,MERCEDES DE LAS NIEVES BLANCO ROMEU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO COLONIAL BILINGUE
COLEGIO COMERCIAL GUATEMALTECO,"00-01-0225-46, 00-01-0706-46",01-318,CIUDAD CAPITAL,ZONA 1,"10A CALLE 11-44, 10A. CALLE 11-44",22534824,LESLIE AZUCENA MONZON TECUN,CHARLOTTE ANN AFRE PYATT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO COMERCIAL GUATEMALTECO
COLEGIO COMERCIAL IXMUCAN,01-08-0269-46,01-603,GUATEMALA,MIXCO,6TA CALLE 7-12 COLONIA NUEVA MONSERRAT ZONA 3,24375856,ROSA ALBELIA ARDON DE MOTTA,SILVIA LUCRECIA GARCÍA MOYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO COMERCIAL IXMUCANÉ
COLEGIO CONTINENTAL,09-01-0326-46,09-004,QUETZALTENANGO,QUETZALTENANGO,23 AV. 7-08 ZONA 7 COLONIA SAN ANTONIO,77673284,DINA RUBI GONZALEZ DE LEON,SANDY YOMARA ROSALES CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO CONTINENTAL
COLEGIO CONTINENTAL AMERICANO,00-17-4748-46,01-106,CIUDAD CAPITAL,ZONA 17,RUTA AL ATLANTICO KM 9.5,22465700,CESAR ARNOLDO MARTINEZ GARCIA,CLAUDIA ELIZABETH RIZO REYES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO CONTINENTAL AMERICANO
COLEGIO COREANO AMERICANO,01-10-0312-46,01-647,GUATEMALA,SAN JUAN SACATEPEQUEZ,"MANZANA D, LOTE 1, FINCA EL REHILETE, CONDADO DE SAN JUAN. SAN JUAN SACATEPÉQUEZ",53153341,VINICIO ARNOLDO NAJERA CARDONA,KORA NOEMÍ HERNÁNDEZ AGUSTÍN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO COREANO AMERICANO
COLEGIO CORPORATIVO COMERCIO,00-17-8962-46,01-110,CIUDAD CAPITAL,ZONA 17,LOTE 13 MANZANA 57 CANTON CENTRAL CANALITOS,42646509,ZUHILEM YESENIA ESTRADA ORTIZ,ELVIRA OFELIA MONTERROSO RIVERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO CORPORATIVO COMERCIO
COLEGIO COSTA SUR,"05-02-1969-46, 11-01-1447-46, 11-01-1448-46","05-007, 11-017","ESCUINTLA, RETALHULEU","RETALHULEU, SANTA LUCIA COTZUMALGUAPA","11 CALLE 5-52 ZONA 1, 7A. CALLE 4-55 ZONA 1, CAMINO A VISTA LINDA CONTIGUO AL HIPÓDROMO MUNICIPAL 0-1","77716808, 78821541","JUAN FRANCISCO GODOY DAVILA, MIGUEL ANGEL ARMAS ROCHA","JACQUELINE JEANNETTE MAZARIEGOS ORELLANA, LUIS ALBERTO FIGUEROA ALVAREZ",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, MATUTINA","DIARIO(REGULAR), FIN DE SEMANA","ESCUINTLA, RETALHULEU","COLEGIO COSTA SUR, COLEGIO COSTASUR"
COLEGIO CRECEMOS+,00-11-0097-46,01-641,CIUDAD CAPITAL,ZONA 11,"30 AVENIDA 9-96 ZONA 11 GUATEMALA, GUATEMALA",25093547,MILTON ALONSO ALVAREZ FUENTES,KARLA NOEMÍ ALVAREZ FLORES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,GUATEMALA SUR,COLEGIO CRECEMOS+
COLEGIO CRISTIANO AGUA DE VIDA,"04-01-0314-46, 04-01-0375-46",04-002,CHIMALTENANGO,CHIMALTENANGO,"15 AVENIDA 1-30 LA PEDRERA, ZONA 8, 15 AVENIDA1-30 LA PEDRERA, ALDEA BUENA VISTA, ZONA 8 03/",57881264,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,HEIDY CLARA CHIS MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, VESPERTINA",DIARIO(REGULAR),CHIMALTENANGO,"COLEGIO CRISTIANO ""AGUA DE VIDA"""
COLEGIO CRISTIANO AMINADAB,01-15-0624-46,01-207,GUATEMALA,VILLA NUEVA,"MANZANA B, SECTOR 2, LOTES 57 Y 58, ZONA 12, LAS MARGARITAS",45738245,ELOÍSA MERCEDES GÓMEZ OROZCO DE FUENTES,OLGA KARINA LÓPEZ BAUTISTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO CRISTIANO AMINADAB
COLEGIO CRISTIANO ARBOL DE VIDA,"17-07-0041-46, 17-07-0048-46",17-011,PETEN,SANTA ANA,"ALDE LOS ANGELES, ALDEA LOS ANGELES",77923502,GUSTAVO ADOLFO REYNOSO HERRERA,ENMA JUDITH PAZ CRUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,"BILINGUE, MONOLINGUE",VESPERTINA,DIARIO(REGULAR),PETÉN,COLEGIO CRISTIANO ARBOL DE VIDA
COLEGIO CRISTIANO AVIVAMIENTO,00-19-0014-46,01-620,CIUDAD CAPITAL,ZONA 19,"10A AVENIDA 8-77 COLONIA LA FLORIDA, ZONA 19",22191010,RONALD MAURICIO MORALES VIVAR,HELEN CAROLINA SIGÜENZA GUERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO AVIVAMIENTO
COLEGIO CRISTIANO AVIVANDO EL FUEGO,03-03-0032-46,03-003,SACATEPEQUEZ,PASTORES,"LOS PLANES DE PASTORES, COLONIA EL TIZATE ZONA 0",32152264,JUVENTINO PEREZ SICAN,CINTHYA GABRIELA CASTELLANOS ALMENGOR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO CRISTIANO AVIVANDO EL FUEGO
COLEGIO CRISTIANO BELN,"11-01-0409-46, 11-01-0441-46, 11-01-0490-46, 13-24-0041-46","11-004, 11-017, 13-041","HUEHUETENANGO, RETALHULEU","RETALHULEU, SAN ANTONIO HUISTA","ALDEA LA GUITARRA, CANTÓN RECREO, CENTRO URBANO ALDEA LA GUITARRA","30601105, 50172946, 55152872","KELVIN VIDALIN DEL VALLE MAZARIEGOS, MIGUEL ANGEL ARMAS ROCHA","JOSÉ ALFREDO LÓPEZ RODRÍGUEZ, KEILY DALILA LÓPEZ SIGUENZA DE HERRERA, KEILY DALILA LÓPEZ SIGÜENZA",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)","HUEHUETENANGO, RETALHULEU","COLEGIO CRISTIANO ""BETHEL"", COLEGIO CRISTIANO BELÉN"
COLEGIO CRISTIANO BEREA PASTOR ERWIN ALBERTO REYES ALVARADO,02-04-0014-46,02-004,EL PROGRESO,SAN CRISTOBAL ACASAGUASTLAN,ALDEA ESTANCIA DE LA VIRGEN,52107093,EDGAR RUDY MORALES GODINEZ,MARÍA YOLANDA PAZ Y PAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,COLEGIO CRISTIANO BEREA PASTOR ERWIN ALBERTO REYES ALVARADO
COLEGIO CRISTIANO BILINGE BLUE SKY,"12-07-0225-46, 12-07-0235-46, 12-07-0242-46",12-130,SAN MARCOS,TACANA,"1RA. AV. ZONA 1, 1RA. AVENIDA ZONA 1, 1RA.AVENIDA ZONA 1",31317295,ABELINO VIDAL ESCALANTE VELASQUEZ,OBNER AVIMAEL GONZÁLEZ ESCALANTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,"COLEGIO CRISTIANO BILINGUE ""BLUE-SKY"", COLEGIO CRISTIANO BILINGÜE BLUE-SKY"
COLEGIO CRISTIANO BILINGE TORRE FUERTE,01-08-0092-46,01-609,GUATEMALA,MIXCO,"BOULEVARD SUR MANZANA C, LOTE 22, VALLE DORADO, SAN CRISTOBAL",24780925,SILVIA HORTENSIA GONZALEZ MARTINEZ,RUTH MARINA COLÓN REYES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO CRISTIANO BILINGÜE TORRE FUERTE
COLEGIO CRISTIANO BILINGE VERBO,"09-20-0039-46, 16-01-0573-46","09-031, 16-031","ALTA VERAPAZ, QUETZALTENANGO","COATEPEQUE, COBAN","4A. CALLE A 4-32 ZONA 8, KILOMETRO 2.5 CARRETERA A NUEVO CHUATUJ ZONA 7","77945181, 78210499","PATRICIO NAJARRO ASENCIO, YOMAR EFRAIN FLORES BARBERENA","LESLY EUGENIA CHOCOOJ VIDAURRE, MARÍA LILY PÉREZ GÁLVEZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),"ALTA VERAPAZ, QUETZALTENANGO","COLEGIO CRISTIANO BILINGUE VERBO, COLEGIO CRISTIANO BILINGÜE VERBO"
COLEGIO CRISTIANO BILINGUE EL SHADDAI,"00-14-4455-46, 00-16-8290-46","01-501, 01-509",CIUDAD CAPITAL,"ZONA 14, ZONA 16","4A. CALLE 23-03, COLONIA KANAJUYU ALDEA SAN GASPAR","23885400, 25061500","JULIO JACOBO GIL URBINA, NANCY CAROLINA NAVAS GONZÁLEZ","CLARA LUCRECIA HERNANDEZ HERNANDEZ, HEIDY XIOMARA SEIJAS MORALES",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO CRISTIANO BILINGUE EL SHADDAI
COLEGIO CRISTIANO BILINGUE GENERACION DE JOSUE,"01-15-0169-46, 01-15-0728-46","01-216, 01-411",GUATEMALA,VILLA NUEVA,4A. CALLE 9-20 ZONA 1,"52731900, 66363413","ANNY VICTORIA PERDOMO VILLATORO, JUAN ENRIQUE MARTINEZ SOLANO","CELIA NOHEMI SIRÍN IQUIQUE, MARÍA ESTELA MORALES SACÚ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, SIN JORNADA","DIARIO(REGULAR), SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA SUR,COLEGIO CRISTIANO BILINGUE GENERACION DE JOSUE
COLEGIO CRISTIANO CAMINO DE VIDA,03-04-0094-46,03-004,SACATEPEQUEZ,SUMPANGO,1A. CALLE 1-23 ZONA 1,49440136,MIRIAM VERONICA GIL QUISQUINAY,BRYAN JOEL LOPEZ CASTRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO CRISTIANO CAMINO DE VIDA
